"filename", "language", "TypeScript", "JSON", "JSON with Comments", "C++", "Ruby", "Swift", "Go", "XML", "CoffeeScript", "JavaScript", "C", "Groovy", "Visual Basic", "Python", "YAML", "PHP", "Perl", "Makefile", "XSL", "Shell Script", "Markdown", "Ignore", "HTML", "comment", "blank", "total"
"/Users/alexgo/code/vs-boost/.boost/output/html/src/dashboard/markdown/main.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 291, 0, 19, 310
"/Users/alexgo/code/vs-boost/.boost/output/html/src/dashboard/markdown_view.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1017, 0, 42, 1059
"/Users/alexgo/code/vs-boost/.boost/output/html/src/dashboard/start_view.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 740, 0, 43, 783
"/Users/alexgo/code/vs-boost/.boost/output/html/src/dashboard/summary_view.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2793, 0, 145, 2938
"/Users/alexgo/code/vs-boost/.boost/output/html/src/data/BoostProjectData.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1243, 0, 72, 1315
"/Users/alexgo/code/vs-boost/.boost/output/html/src/data/IAnalysisContextData.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 238, 0, 16, 254
"/Users/alexgo/code/vs-boost/.boost/output/html/src/data/boostprojectdata_interface.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 999, 0, 31, 1030
"/Users/alexgo/code/vs-boost/.boost/output/html/src/data/incompatibleVersionException.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 194, 0, 15, 209
"/Users/alexgo/code/vs-boost/.boost/output/html/src/data/jupyter_notebook.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1089, 0, 49, 1138
"/Users/alexgo/code/vs-boost/.boost/output/html/src/data/userAnalysisType.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 230, 0, 16, 246
"/Users/alexgo/code/vs-boost/.boost/output/html/src/extension/BoostExtension.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8036, 0, 457, 8493
"/Users/alexgo/code/vs-boost/.boost/output/html/src/extension/extension.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3014, 0, 118, 3132
"/Users/alexgo/code/vs-boost/.boost/output/html/src/extension/extensionUtilities.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 368, 0, 19, 387
"/Users/alexgo/code/vs-boost/.boost/output/html/src/extension/extension_state.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 221, 0, 18, 239
"/Users/alexgo/code/vs-boost/.boost/output/html/src/extension/portal.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1002, 0, 39, 1041
"/Users/alexgo/code/vs-boost/.boost/output/html/src/extension/vscodeUtilities.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2118, 0, 68, 2186
"/Users/alexgo/code/vs-boost/.boost/output/html/src/inline/codelens_provider.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 277, 0, 22, 299
"/Users/alexgo/code/vs-boost/.boost/output/html/src/inline/decorator_provider.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 568, 0, 37, 605
"/Users/alexgo/code/vs-boost/.boost/output/html/src/inline/inline.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 329, 0, 21, 350
"/Users/alexgo/code/vs-boost/.boost/output/html/src/user/organization.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 773, 0, 44, 817
"/Users/alexgo/code/vs-boost/.boost/output/html/src/utilities/authorization.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1233, 0, 41, 1274
"/Users/alexgo/code/vs-boost/.boost/output/html/src/utilities/boostLogging.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 539, 0, 42, 581
"/Users/alexgo/code/vs-boost/.boost/output/html/src/utilities/boostOnly.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 912, 0, 34, 946
"/Users/alexgo/code/vs-boost/.boost/output/html/src/utilities/convert_html.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1295, 0, 48, 1343
"/Users/alexgo/code/vs-boost/.boost/output/html/src/utilities/convert_markdown.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1150, 0, 46, 1196
"/Users/alexgo/code/vs-boost/.boost/output/html/src/utilities/convert_pdf.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 760, 0, 32, 792
"/Users/alexgo/code/vs-boost/.boost/output/html/src/utilities/datetime.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 238, 0, 16, 254
"/Users/alexgo/code/vs-boost/.boost/output/html/src/utilities/error.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 388, 0, 17, 405
"/Users/alexgo/code/vs-boost/.boost/output/html/src/utilities/files.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1823, 0, 61, 1884
"/Users/alexgo/code/vs-boost/.boost/output/html/src/utilities/git.d.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2790, 0, 78, 2868
"/Users/alexgo/code/vs-boost/.boost/output/html/src/utilities/marked-highlights.d.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 0, 15, 184
"/Users/alexgo/code/vs-boost/.boost/output/html/src/utilities/serializer.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 803, 0, 37, 840
"/Users/alexgo/code/vs-boost/.boost/output/html/src/utilities/workflow_engine.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1151, 0, 88, 1239
"/Users/alexgo/code/vs-boost/.boost/output/md/esbuild.js.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 757, 0, 0, 0, 581, 1338
"/Users/alexgo/code/vs-boost/.boost/output/md/package-lock.json.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8235, 0, 0, 0, 220, 8455
"/Users/alexgo/code/vs-boost/.boost/output/md/package.json.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 562, 0, 0, 0, 111, 673
"/Users/alexgo/code/vs-boost/.boost/output/md/scripts/set-org.sh.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176, 0, 0, 0, 156, 332
"/Users/alexgo/code/vs-boost/.boost/output/md/scripts/sync-github.js.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 412, 0, 0, 0, 364, 776
"/Users/alexgo/code/vs-boost/.boost/output/md/src/controllers/analyze_controller.ts.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 477, 0, 0, 0, 483, 960
"/Users/alexgo/code/vs-boost/.boost/output/md/src/controllers/analyze_function_controller.ts.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 460, 0, 0, 0, 434, 894
"/Users/alexgo/code/vs-boost/.boost/output/md/src/controllers/base_controller.ts.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3104, 0, 0, 0, 2166, 5270
"/Users/alexgo/code/vs-boost/.boost/output/md/src/controllers/blueprint_controller.ts.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 431, 881
"/Users/alexgo/code/vs-boost/.boost/output/md/src/controllers/boostServiceHelper.ts.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1062, 0, 0, 0, 839, 1901
"/Users/alexgo/code/vs-boost/.boost/output/md/src/controllers/chat_controller.ts.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 495, 0, 0, 0, 494, 989
"/Users/alexgo/code/vs-boost/.boost/output/md/src/controllers/codeguidelines_controller.ts.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 486, 0, 0, 0, 475, 961
"/Users/alexgo/code/vs-boost/.boost/output/md/src/controllers/compliance_controller.ts.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 499, 0, 0, 0, 510, 1009
"/Users/alexgo/code/vs-boost/.boost/output/md/src/controllers/compliance_function_controller.ts.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 409, 0, 0, 0, 388, 797
"/Users/alexgo/code/vs-boost/.boost/output/md/src/controllers/controllerOutputTypes.ts.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 140, 330
